	Count
hsa-mir-1539	1
hsa-mir-5011-3p	1
hsa-mir-4488	1
hsa-mir-3132	1
hsa-mir-10395-5p	1
hsa-mir-936	1
hsa-mir-2276-5p	1
hsa-mir-5787	1
hsa-mir-664b-5p	1
hsa-mir-623	1
hsa-mir-302b-5p	1
hsa-mir-545-5p	1
hsa-mir-6083	1
hsa-mir-448	1
hsa-mir-6793-3p	1
hsa-mir-647	1
hsa-mir-485-5p	1
hsa-mir-3180-3p	1
hsa-mir-4314	1
hsa-mir-3944-3p	1
hsa-mir-4422	1
hsa-let-7a-2-3p	1
hsa-mir-4503	1
hsa-mir-4327	1
hsa-mir-432-5p	1
hsa-mir-203a-5p	1
hsa-mir-5587-3p	1
hsa-mir-1227-5p	1
hsa-mir-2861	1
hsa-mir-3612	1
hsa-mir-1236-3p	1
hsa-mir-4658	1
hsa-mir-6801-3p	1
hsa-mir-4722-3p	1
hsa-mir-888-5p	1
hsa-mir-3620-5p	1
hsa-mir-4644	1
hsa-mir-216a-5p	1
hsa-mir-3190-5p	1
hsa-mir-6842-3p	1
hsa-mir-4322	1
hsa-mir-3667-5p	1
hsa-mir-4663	1
hsa-mir-4753-3p	1
